account,out_degree,in_degree,fan_out_score,pagerank,betweenness,graph_risk_score,is_fraud
C971698444,1,1,1.0,0.0,0.0,0.4366,0
C650508984,1,1,1.0,0.0,0.0,0.4118,0
C1779608760,1,0,1.0,0.0,0.0,0.4,0
C817408150,1,0,1.0,0.0,0.0,0.4,0
C618929133,1,0,1.0,0.0,0.0,0.4,0
C1077450118,1,0,1.0,0.0,0.0,0.4,0
C2092664447,1,0,1.0,0.0,0.0,0.4,0
C422166921,1,0,1.0,0.0,0.0,0.4,0
C555287092,1,0,1.0,0.0,0.0,0.4,0
C1201009357,1,0,1.0,0.0,0.0,0.4,0
C861654123,1,0,1.0,0.0,0.0,0.4,0
C543940600,1,0,1.0,0.0,0.0,0.4,0
C357212974,1,0,1.0,0.0,0.0,0.4,0
C1589711612,1,0,1.0,0.0,0.0,0.4,0
C1654778365,1,0,1.0,0.0,0.0,0.4,0
C145825949,1,0,1.0,0.0,0.0,0.4,0
C1681941751,1,0,1.0,0.0,0.0,0.4,0
C844264473,1,0,1.0,0.0,0.0,0.4,0
C292822268,1,0,1.0,0.0,0.0,0.4,0
C340709127,1,0,1.0,0.0,0.0,0.4,0
C419067065,1,0,1.0,0.0,0.0,0.4,0
C52382695,1,0,1.0,0.0,0.0,0.4,0
C851830643,1,0,1.0,0.0,0.0,0.4,0
C966526220,1,0,1.0,0.0,0.0,0.4,0
C2045514151,1,0,1.0,0.0,0.0,0.4,0
C374817457,1,0,1.0,0.0,0.0,0.4,0
C159056919,1,0,1.0,0.0,0.0,0.4,0
C1385965740,1,0,1.0,0.0,0.0,0.4,0
C705135278,1,0,1.0,0.0,0.0,0.4,0
C1385495120,1,0,1.0,0.0,0.0,0.4,0
